,personId,season,gameId,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,firstName,lastName,birthdate,lastAttended,country,height,bodyWeight,guard,forward,center,draftYear,draftRound,draftNumber
0,87,2008-2009,9,10.333333333333334,1.7777777777777777,0.0,1.2222222222222223,0.0,1.4444444444444444,0.5555555555555556,0.1587777777777778,0.0,0.0,0.0,1.0,0.6666666666666666,0.2,2.3333333333333335,1.3333333333333333,3.6666666666666665,1.2222222222222223,0.6666666666666666,0.0,Dikembe,Mutombo,1966-06-25,Georgetown,Congo,86.0,260.0,False,False,True,1991.0,1.0,4.0
1,255,2008-2009,82,29.341463414634145,12.012195121951219,2.268292682926829,0.6585365853658537,1.0975609756097562,9.085365853658537,4.7560975609756095,0.5086341463414634,0.926829268292683,0.2926829268292683,0.17681707317073173,2.731707317073171,2.207317073170732,0.5548170731707317,4.158536585365853,0.7804878048780488,4.939024390243903,2.2195121951219514,1.5365853658536586,2.2439024390243905,Grant,Hill,1972-10-05,Duke,USA,80.0,225.0,False,True,False,1994.0,1.0,3.0
2,255,2009-2010,81,29.54320987654321,11.25925925925926,2.382716049382716,0.4444444444444444,0.7407407407407407,8.679012345679013,4.148148148148148,0.4737407407407407,0.9876543209876543,0.43209876543209874,0.26254320987654317,3.0987654320987654,2.5308641975308643,0.6672345679012346,4.580246913580247,0.9135802469135802,5.493827160493828,2.037037037037037,1.3333333333333333,2.0987654320987654,Grant,Hill,1972-10-05,Duke,USA,80.0,225.0,False,True,False,1994.0,1.0,3.0
3,255,2010-2011,80,29.5875,13.2,2.5,0.4375,0.8,10.3125,4.9875,0.46972500000000006,1.425,0.5625,0.2356875,3.2125,2.6625,0.6198,3.2625,0.9625,4.225,2.3,1.675,0.6125,Grant,Hill,1972-10-05,Duke,USA,80.0,225.0,False,True,False,1994.0,1.0,3.0
4,255,2011-2012,49,27.612244897959183,10.183673469387756,2.183673469387755,0.5918367346938775,0.8367346938775511,9.204081632653061,4.1020408163265305,0.4291020408163265,1.0816326530612246,0.2857142857142857,0.1700612244897959,2.2244897959183674,1.6938775510204083,0.49879591836734694,2.8979591836734695,0.5918367346938775,3.489795918367347,1.7959183673469388,1.3265306122448979,2.2244897959183674,Grant,Hill,1972-10-05,Duke,USA,80.0,225.0,False,True,False,1994.0,1.0,3.0
5,255,2012-2013,29,14.586206896551724,3.206896551724138,0.896551724137931,0.2413793103448276,0.3793103448275862,3.3793103448275863,1.3103448275862069,0.3469655172413793,0.3793103448275862,0.10344827586206896,0.08620689655172414,0.8275862068965517,0.4827586206896552,0.20689655172413793,1.4827586206896552,0.20689655172413793,1.6896551724137931,1.3448275862068966,0.8620689655172413,0.034482758620689655,Grant,Hill,1972-10-05,Duke,USA,80.0,225.0,False,True,False,1994.0,1.0,3.0
6,283,2008-2009,27,9.333333333333334,2.7037037037037037,1.3703703703703705,0.037037037037037035,0.7407407407407407,3.037037037037037,1.0,0.26237037037037036,1.7777777777777777,0.5925925925925926,0.1942962962962963,0.18518518518518517,0.1111111111111111,0.07407407407407407,0.37037037037037035,0.07407407407407407,0.4444444444444444,1.037037037037037,0.7037037037037037,-1.7407407407407407,Lindsey,Hunter,1970-12-03,Jackson State,USA,74.0,195.0,True,False,False,1993.0,1.0,10.0
7,283,2009-2010,13,8.923076923076923,1.0,0.6923076923076923,0.0,0.07692307692307693,2.3076923076923075,0.38461538461538464,0.06453846153846153,1.0,0.07692307692307693,0.025615384615384616,0.15384615384615385,0.15384615384615385,0.07692307692307693,1.0,0.07692307692307693,1.0769230769230769,0.9230769230769231,0.3076923076923077,-0.9230769230769231,Lindsey,Hunter,1970-12-03,Jackson State,USA,74.0,195.0,True,False,False,1993.0,1.0,10.0
8,406,2008-2009,75,29.573333333333334,17.773333333333333,1.68,1.44,0.6533333333333333,11.213333333333333,6.826666666666667,0.6110266666666666,0.013333333333333334,0.0,0.0,6.92,4.12,0.5820666666666667,5.946666666666666,2.493333333333333,8.44,3.3733333333333335,2.24,1.8133333333333332,Shaquille,O'Neal,1972-03-06,Louisiana State,USA,85.0,325.0,False,False,True,1992.0,1.0,1.0
9,406,2009-2010,53,22.88679245283019,12.0,1.509433962264151,1.169811320754717,0.2830188679245283,8.735849056603774,4.943396226415095,0.5678679245283019,0.018867924528301886,0.0,0.0,4.264150943396227,2.1132075471698113,0.4430943396226415,4.943396226415095,1.7547169811320755,6.69811320754717,3.188679245283019,1.9811320754716981,1.7924528301886793,Shaquille,O'Neal,1972-03-06,Louisiana State,USA,85.0,325.0,False,False,True,1992.0,1.0,1.0
